bank,city,review,date
ALLAHABAD BANK,lucknow,"I applied for the housing loan from Allahabad Bank the processing and the documentation is very quick and they processed within the promised time and the rate of interest is less when compared to other banks, the whole process got completed in one month, the overall service is good.","May 19, 2013"
ALLAHABAD BANK,bangalore,"By first week of this month, my house loan got disbursed from Allahabad Bank. I approached Allahabad bank as the builder had tie-up with this bank and all the processing was quite simple and easier. My loan was also sanctioned within a week. Interest rate and processing charges were bit higher but it was quite OK as I got my loan disbursed within a short time.","May 16, 2013"
ANDHRA BANK,bangalore,"Andhra bank follows a conventional way of banking. They are not up when it comes to technology, technology wise they have to improve a lot. The charges are quite similar to other banks. Also they dont provide upcoming offers, they just stick to their old offers, where as other banks come up with attractive schemes at regular intervals for instance SBI, as SBI does that. ","Aug 26, 2015"
ANDHRA BANK,hyderabad,The service provided was average with andhra bank related to the home loan process since its a government bank.They have got good technology but they do have a legacy mindset.The rate applied was around 10.25% which was on the higher side and I may not recommend the service as well.,"Jun 20, 2015"
ANDHRA BANK,visakhapatnam,Andhra Bank executives collected minimal documents as per the bank norms. Interest rate offered for the home loan was diminishing and it was 10.25% per annum. Home loan was processed within a month's time and they have provided the loan on the exact time of requirement.,"May 18, 2015"
ANDHRA BANK,nagpur,I have taken a home loan through the Andhra bank. This bank was recommended by one of my colleague. Rate of interest availed was quite high and it could be negotiated. The processing of loan was very fast as it got credited in my account within 3 days. ,"Mar 31, 2015"
ANDHRA BANK,hyderabad,Interest rate will be regulated according to the RBI norms. The customer can blindly rely on them regarding the interest rate. Verification was done thrice by the executives. I felt very secured in taking the home loan with Andhra bank. Process was very much smooth with them.,"Mar 04, 2015"
ANDHRA BANK,hyderabad,Andhra bank is very cooperative but the rate of interest is very high. 9.75% of rate is somewhat high for the home loan. In all the aspects they are also good but rate seems high. Andhra bank has taken 40 thousand as charge for the home loan amount of 26 lakhs.,"Mar 02, 2015"
ANDHRA BANK,bangalore,I did not face any issue with the andhra bank while taking the home loan.I easily approach with the bank manager. When i took the loan before five year the interest rate was high but now it has come down . The verification of the property was fine but i feel that the sbi bank is better. .,"Feb 10, 2015"
ANDHRA BANK,bangalore,The only best part about Andhra bank with regards to home loan is that they have the option of part payment immediately after taking up the loan and they provided me a very nominal rate of interest. Also I was very happy that my loan amount got disbursed within 5 days of applying for the home loan. They need to improve the web portal which I feel they are very much behind all the other banks.,"Dec 17, 2014"
ANDHRA BANK,hyderabad,I took the home loan with andhra bank they approved the loan within 20 days the delay was only because there was some deviation in the property. Interest rate charged was 10.5% when i took before five years and now it has been reduced to 9.75%The processing fee was 0%. ,"Dec 14, 2014"
ANDHRA BANK,ghaziabad,ANDHRA Bank housing loan is fine . It would be great if they improvise on their customer service. I have called their customer service I we have to hold the line for a long time and their IVRS states that its under maintenance always. However they have to do maintenance during the night time or during the week end.,"Dec 12, 2014"
ANDHRA BANK,chennai,Its a quick process to get the Home loan with Andhra bank.They have taken around a weeks time to process the loan.They have required very simple document in the loan process.The interest rate offered was around 10.25%.SBI have offers better rate compared with Andhra Bank. ,"Oct 14, 2014"
ANDHRA BANK,delhi,My property dealer has tie up with Andhra Bank and via my dealer I have applied for Home Loan to Andhra Bank. Documents were collected on time from me and application is under process. Bank offered me loan as per my requirement and even the interest rate applicable is at par with the market.,"Sep 24, 2014"
ANDHRA BANK,new delhi,My Home Loan was taken from Andhra bank. I will call it as a Golden bank to me because they processed my application with in 4 day to me. Basically I am from Andhra pradesh so I always preferred this bank. Rate of interest is very less with them when compared with other banks. ,"Sep 11, 2014"
ANDHRA BANK,hyderabad,"My home loan is in the process with Andra Bank. The documentation and evaluation was done. It is in the final stage now. I am joint account with my parents. I deal with the bank manager, he was very helpful till now and already few of my family members have taken loan through him. As per the discussion I found the interest rate what they offer is normal. The pre closure is done without any charges. It going on smoothly with Andra Bank. ","Sep 02, 2014"
ANDHRA BANK,bangalore,I had a very poor experience with Andhra bank based on the home loan.They said I will be getting a top pop loan for the other two floor built but they havení¢??t provide the same.Their executives are rude towards the customer and the charges applied is quite high. ,"Aug 28, 2014"
ANDHRA BANK,bangalore,Andhra Bank provided me a Home Loan of Rs 15 Lakhs with an interest rate of 10.25%. The processing fee was also nominal. The customer service is excellent as they processed my loan in just 1 day. My builder took care of everything. I just prepared my documents and remaining things my builder had a follow up with the bank. ,"Jul 14, 2014"
ANDHRA BANK,chennai,Actually the builder has a tie up with Andra bank. Everything was settled in one day. Initially they have asked me for some documents and I have sent that through mail. The whole process was completed within a days time. I have sent all my documents through mail to their mail id ,"Jun 17, 2014"
ANDHRA BANK,bangalore,"A month ago I have applied for home loan with Andhra bank and still it is under progress where yet to receive the amount. Infact, when I approached the bank manger for inquiry she does not know the actual rate of interest, processing charge and the limit, which disappointed me. Interest rate on home loan is very high than other nationalized banks as I did not have second option thus I went for it. I guess, processing charge 0.25% is same like other banks. ","Apr 01, 2014"
ANDHRA BANK,visakhapatnam,Andra Bank housing loan is good. Interest rate offered by them was really good. Interest amount is calculated on a diminishing balance. As and when we deposit the money the balance will get reduced and they will calculate interest on the diminishing balance. I am a regular customer of Andra bank and they have offered that based on my track records. ,"Mar 13, 2014"
ANDHRA BANK,bangalore,"I have taken a housing loan with Andra bank. The Bank has verified all the legal documents pertaining to this property and Bank has given the certification confirming its verified so I have chosen this one. I am very much happy with the interest rate and processing fee . Offcourse, I am allowed to make partial payment in between. ","Jan 30, 2014"
ANDHRA BANK,chennai,"I personally went to Andhra bank and got the home loan. I got it based on the salary norms and the property documents as well. As the bank was nearby to the property, it was easier to avail home loan. Interest rate is 10.25% and I would say there is no discrepancies in terms of charges. Andhra bank branch manager is pretty much cooperative. ","Nov 16, 2013"
ANDHRA BANK,nasik,My co-brother is working in Andhra bank who helped me to avail a home loan three years ago. He himself completed the documentation process very fast and ensured my loan sanctioning within 3 days of time at a rate of interest of 11.75%. I recently transfer the loan with the same bank at a rate of interest of just 10.25%.,"Sep 26, 2013"
ANDHRA BANK,bangalore,Last month I had opted for a home loan from Andhra bank. They were kind enough to give me the loan. They saw all the papers and suggested their own layers. People from the bank has visited the site and enquired everything &amp; ready to give me the loan. Everything happened very quickly and the documentation process was completed in just 2 days. Finally they sanctioned my loan within a week at a rate of interest of 10.25%.,"Sep 12, 2013"
ANDHRA BANK,pune,Couple of months ago I have received my housing loan from Andhra Bank. I directly walked into the bank and requested the housing loan. The bank executives were very friendly and supportive hence the loan process was smooth. Documentation was less however the processing time almost took around 20 days which was quite long.,"May 19, 2013"
ANDHRA BANK,chennai,"ANDRA Bank home loan is good, it all depends on loan amount is more than 15 lakhs the interest rate is less and if the loan amount is less than 15 lakhs the interest rate will be high, and they explained to me about fixed and floating rate and about the prepayments also.","May 10, 2013"
AXIS BANK,pune,There are no specific reason to choose the Axis bank for my housing loan. Interest rate is good one while compare with market rates. Loan amount got credited to my account within three months of time and the inspection other procedures are really good with them. Documentation process is nominal one with Axis bank.,"Aug 30, 2015"
AXIS BANK,noida,"Special thanks to Vishal, as he was the concerned person who was looking after my housing loan with Axis. He was my ad visor too he was actually guiding me regarding the procedure of the process. Axis bank is the only bank which has fulfilled all my requirements where the bank was able to fund up to 90% of the property value and they are basically co-operative in nature. ","Aug 29, 2015"
AXIS BANK,bangalore,"My dislike about Axis bank was time and again the bank was asking for the receipt for my house down payment which I made initially . I had made the payments in parts, to what I know, they have failed to record my previous down payment which I made and they were asking for the same multiple times. My likes about Axis bank was, they were offering a higher loan amount, prepayment facilities were there and the processing fee charged was around rs 2500.","Aug 27, 2015"
AXIS BANK,tiruchirapalli,Interest rate is a better one with the Axis bank when it comes to home loan. Loan amount got disbursed to my account at a specified time and the processing charges were nil with them. Documentation procedure was very simple with them. I dint find any issues with them till now.,"Aug 27, 2015"
AXIS BANK,chennai,Axis Bank was very good in their services. I had a home loan taken from them earlier. The process was too good. It was quick and easy. The rate of interest was of 9.85%. Then I had to pay twice to reduce the rate as the offer I got was that. The processing charges was average too.,"Aug 26, 2015"
AXIS BANK,chennai,"Apart from the rate of interest, the services are very good at Axis bank. I had my home loan earlier with them. The rate of interest was of 10.75%. The processing charges was average. But they were very fast in their processing. They came over collected my documents and it was a smooth process. I can also contact the customer care at any time and they would be supportive in responding. ","Aug 26, 2015"
AXIS BANK,coimbatore,Axis bank has done a very good job when it comes to housing loan. The process was very simple and fast. It was completed as per my requirement. I was also comfortable with the rate of interest they offered me. The processing charges also seemed to be normal. Overall I can say it was a pleasant experience and hassle free.,"Aug 26, 2015"
AXIS BANK,mumbai,It was lengthy procedure to get the housing loan with Axis bank and the interest rate is around 9.45%. Customer service has to be improved and the processing charges was around 7000 Rupees for my housing loan. I would like to suggest that Axis bank need to more proactive with their executives.,"Aug 25, 2015"
AXIS BANK,bangalore,"Within a month of time the loan amount got successfully disbursed to my account from the Axis bank. Interest rate for the housing loan with them was around 9.35% with some negotiation. Due to the offers was on that time, there was no processing charges. I would like to suggest that Axis bank have to be more pro-active while collecting original documents.","Aug 25, 2015"
AXIS BANK,kolkata,"The lender Axis bank provided very good service as my housing loan was disbursed by them . The entire process was completed on time. The response that I received from them was good throughout the process. The rate of interest charged was very normal. The processing charges were reasonable too. To summarize, it was a hassle free process.","Aug 24, 2015"
AXIS BANK,hyderabad,"It is yet another dis satisfactory experience with Axis Bank, next to my car loan. I was given an offer of 1 year waiving of EMI on my housing loan . But they took 40 days to let me if the process could be done or not until I finally called them to know this status. I would never wish to recommend this bank to others.","Aug 12, 2015"
AXIS BANK,chennai,"The main highlight of Axis bank housing loan is, there is no preclosure charges which is applicable here. The schemes which they provide for their customers is really good and attractive too. I will definitely recommend their service to prospect customers.","Aug 09, 2015"
AXIS BANK,kolkata,"NICE JOBReally good service, to check your eligibility from home... just few clicks and you're done... sit back relax... bank representative will call you... I will definitely recommend bank bazaar .. even if you go to the bank they will make you run 200 times... here they do all the running.","Jul 12, 2015"
AXIS BANK,chennai,"The very first step of AXIS Bank home loan would be, their agents called me and confirmed with me that they would come and collect my documents from my home. My property was a flat. I am not sure that the bank provides special offers to women or not and I am very much happy with the service offered by AXIS bank .","Jul 09, 2015"
AXIS BANK,hyderabad,Interesting to work with AXIS Bank for my home loan. As the service offered by them was really good. The process which they had followed was completed on time. From the collection of documents till the end of the process. The rate of interest was normal. The processing charges were also normal. ,"Jul 06, 2015"
AXIS BANK,mumbai,"Apparently, the service offered by AXIS Bank for the housing loan is really good . One of the DSA agent was very helpful during the entire process. He was the only communication between the bank and customer. Door step facilities were provided. Only once I approached the bank for the disbursement. They have offered 20 years tenure period for the home loan and also I was given happy ending EMI option.","Jul 06, 2015"
AXIS BANK,mumbai,"The service offered by Axis Bank was better compared with HDFC LTD related to home loan.They are updating customer about the rates change and other updates in a loan process.The process time taken was also very less from Axis Bank.The customer support offered was best with Axis Bank,","Jul 05, 2015"
AXIS BANK,ahmedabad,I had successfully taken a home loan from Axis bank. During the process their representatives came to the scheduled place and picked up the documents from me. The EMI for this loan is fixed for 15 years and I did not inquire with the bank that I could extend the EMI duration. I got this loan in 10 days. ,"Jul 05, 2015"
AXIS BANK,ahmedabad,"No misses, on my Axis bank housing loan process as, everything was executed in a very good way . They came over and collected the documents. The process was completed on time. The rate of interest was an average rate. The processing charges were high when compared. Overall, it was a good experience.","Jul 01, 2015"
AXIS BANK,chennai,Having a banking relationship with AXIS Bank for more than 12 years also I have taken a home loan from them . It has always been a good experience with the bank. Their services and response has always been good. The rate provided for the loan was very much satisfactory. The processing charges were also very nominal. ,"Jul 01, 2015"
AXIS BANK,pune,"I am very grateful to Axis bank for providing the home loan and the interest rate was around 10.25%, which was floating based. I would like to suggest that if repo rate of RBI changes, it has an immediate impact on my loan and on my EMI. I am happy with Axis bank because Mr. Rahul khanna has helped me a lot to get my housing loan, also he is very prompt in collecting the documents.","Jun 30, 2015"
AXIS BANK,pune,"My home loan process was very simple, I like it as the service offered by them was good. The documents were collected at one stretch and it was a smooth process. The rate of interest was also reasonable to me. The processing charges were good too. Overall satisfactory. ","Jun 30, 2015"
AXIS BANK,ahmedabad,The process was very simple with Axis Bank related to the home loan process.The agents have come for document collection made it easy for the customer.It was a good experience with Axis Bank.It will be good if they provide the best response each time a customer reach them.,"Jun 27, 2015"
AXIS BANK,lucknow,"Whenever there is a need or if I am in need of any assistance the representative from Axis bank who was ready to help me , who took the initiate to complete the home loan process. I was happy with the response given by the executive.There was change in the interest rate from the initially offer which was reflected immediately on the loan process.Security was high in the loan. The process they follow gives an assurance. Maximum time taken to disburse the amount was ten days.","Jun 22, 2015"
AXIS BANK,chennai,The coordination was very good from Axis bank customer service for the home loan. The documentation was till tough as they collected the maximum pares because of which I have to visit the bank 2-3 times. Rate of interest and processing fee was the market rate. Duration time to disburse the loan was nearly about one month.,"Jun 22, 2015"
AXIS BANK,pune,"Interest rate for the housing loan with the Axis bank is around 9.5% and the customer service is bit delay from their end. Finally, I got the loan from them, also I would like to suggest that they need to complete the process as fast as possible.","Jun 21, 2015"
AXIS BANK,pune,The home loan I had applied with Axis bank was a very lukewarm affair as their processing was too slow for some reason and took almost 5-6 months as the file had to be re-logged in as the technical assessment sanction period had expired. I was also given an insurance policy. It was when things took a serious turn that it got processed. The rate of interest was quoted 9.55% which is now reduced to 9.50% floating for 20 years. The processing fee was Rs.6k.,"Jun 21, 2015"
AXIS BANK,kolkata,"Axis bank is capable of providing better service for the home loan. It took about 3 months time, to the complete process which included the documentation, verification of the legal documents etc. The rate of interest was 9.5% which was on floating basis with a processing fee of Rs.11k. The executive needs to be proactive and do not wait for the customer to follow up.","Jun 21, 2015"
AXIS BANK,ghaziabad,"There were many disputes and AXIS bank executives were not confident. My loan got disbursed only couple of days back and I am yet to receive any documents about the rate of interest and other details. I would suggest that a customer should first check which branch is the best and then move ahead for the loan, because it is the executives who represent the bank and when their services are not satisfactory. It reflects on the bank as well.I have taken my home loan with Axis bank","Jun 21, 2015"
AXIS BANK,kolkata,"Hardly, four days of time were taken by Axis bank to disburse the amount in to my AXIS bank housing loan account. Customer service is an excellent one with Axis bank and the interest rate is around 9.35%, which is floating based. The paper works asked by AXIS bank was very normal.","Jun 20, 2015"
AXIS BANK,hyderabad,"Rate of interest was relatively high with the Axis bank for the home loan, also the amount which they have proposed to me as capital was not okay. Customer service was fine with them and the response was an immediate one with them. I dont have any suggestion for them.","Jun 18, 2015"
AXIS BANK,new delhi,There is no particular reason why I dint go ahead with the Axis bank for the home loan. I have seen the interest rate for the home loan with Axis bank was fine for me and the customer service is also good with them. In the mean time I got a loan from State bank of India.,"Jun 18, 2015"
AXIS BANK,jodhpur,Bankbazaar application is a designed good application. It was nice experience to fill out all the items. I didnt get struct anywhere while providing the details. Whole journey through the application was so nice. Expecting good reply from the banks.,"Jun 13, 2015"
AXIS BANK,ahmedabad,I got a fair deal from Axis Bank for my home loan. They collected my documents and processed the loan on time. They also offered the lowest rate of interest. It was of 9.45%. The processing charges was of 0.5%. It was a good experience with the bank for this loan process. ,"Jun 06, 2015"
AXIS BANK,kolkata,I do have home loan with Axis bank and the interest rate is pretty high while compare with nationalized bank but its on lesser end while compare with private sector bank. The loan amount got disbursed to my account within fifteen days to twenty days of time. Response is good with them.,"Jun 04, 2015"
AXIS BANK,chennai,"Home loan was processed within 15 working days by the Axis bank executives. They quoted 9.65 % as the interest rate , which is fixed for the tenure of 10 years. I paid a minimal amount as initial payment and the remaining amount was provided by Axis as the loan amount.","May 23, 2015"
AXIS BANK,bangalore,"I have got the home loan with the Axis bank and the interest rate was not very good. I don't think so, whatever RBI applies will not reflect to the customer account on time. I suppose, partial payment facilities is not applicable. Processing charges are nominal one and they are really poor in the documentation process.","May 07, 2015"
AXIS BANK,chennai,It was good to go with axis bank in taking a home loan. It was a fine experience that I had with them. The loan disbursement took almost 10 days. Few details that are mentioned earlier on the mobile application are not reflecting now. It is difficult to take commercial vehicles through this bank. ,"May 03, 2015"
AXIS BANK,chennai,My home loan experience with axis bank was good in term of interest rate but they took long time to disburse the amount. Verification process was smooth . They required less documents. It would be good if they disburse the amount in the short period. ,"Apr 30, 2015"
AXIS BANK,pune,My home loan is with Axis Bank. The services are good. The process was done fast. I got the loan within one week. The document process was easy and not much. I got a rate of interest around 9%. They waived off the processing fees and charges.,"Apr 30, 2015"
AXIS BANK,faridabad,It was very much easy to take a home loan from axis bank. The approach of their staffs was better. The interest rate informed to me was according to the market rate. My loan was disbursed to me on the promised time. Overall it was a happy experience. ,"Apr 21, 2015"
AXIS BANK,bangalore,Axis bank gave me the best offer on the home loan. They offered me a very low rate of interest. It was lower than a nationalized bank rate. The process was excellent. They moved my file within 48 hours. And the process was completed very much fast. Overall a very good experience. ,"Apr 21, 2015"
AXIS BANK,new delhi,I have taken a home loan from Axis Bank few years back. The processing and documentation was pretty easy and minimal since it was just a top up on the previous loan from another bank. The rate of interest offered was around 10.1% with a processing fee of around 0.65%. ,"Apr 15, 2015"
AXIS BANK,ghaziabad,Axis bank is giving the good interest rate and processing fee for home loan. I approached them for the top up loan but the processing is very high were as other bank are offering 90% less processing fee for the balance transfer. It would be nice if the give all the detailed information in written to the customer. ,"Apr 13, 2015"
AXIS BANK,bangalore,Axis bank gives a good service for the home loan. The rate of interest is reasonable compared to other banks. They took one month time for the disbursement due heavy documentation process. The builder recommended the bank so the property verification was very simple. . ,"Apr 11, 2015"
AXIS BANK,hyderabad,"Axis bank n executives are not responsive in time, the property which i hv negotiated hv taken time fr about 20 days fr docs collection, many tim complaint has bn given but no response, hence I lost d prop to competitor, many banksbr giving prelim e app but axis failed, hence not satisfied.","Apr 05, 2015"
AXIS BANK,new delhi,The service provided was not good with Axis bank related to the home loan process.They are not responding customer for the mail sent from the customer end.It will be good if they look towards customer query and attend customer in proper way. ,"Apr 02, 2015"
AXIS BANK,mumbai,I had taken Home Loan from Axis (PHR064700732771) from its Goregaon loan centre. Post taking loan I came to know that you cannot loan centre again. For any detail you need to call center and you will get to hear a new voice everytime. I asked for a statement and they took more than 20 days to give it. I was forced to take leave and visit loan center multiple times. The people at loan center are not helpful and are not interested to understand pain of the customer. I am shifting my loan now to another bank for sure.,"Apr 01, 2015"
AXIS BANK,gurgaon,Axis bank is very prompt and professional. They approached very easily for the home loan. The paper work were completed efficiently . Interest rate charged was 9.5% as i have given my spouse name as co applicant.The processing fee was very minimal. The executive was very responsive.,"Mar 26, 2015"
AXIS BANK,bangalore,I have a home loan from Axis Bank. They offered me 9.5% interest rate and a processing fee of 2%. Their customer service and responsiveness is great as they regularly keep in touch. The processing and documentation is hassle free and quite smooth. The staff are very co-operative and always happy to help.,"Mar 25, 2015"
AXIS BANK,chennai,"Since Ií¢??m already an Axis bank customer, the home loan process was also pretty much hassle free. I was offered an interest rate of 10.25% which I feel is slightly higher than that offered by other banks. The customer service and responsiveness from the executives was good and the loan got disbursed in a very short span of time.","Mar 19, 2015"
AXIS BANK,pune,The service provided was very nice with Axis Bank related to the home loan process.I like the door step service provided for the customer related to home loan.The process was quite good and they have collected only the required documents to process the home loan.,"Mar 18, 2015"
AXIS BANK,kolkata,At the first the Axis bank executive had accepted for home loan for amount of 16 to 17 lakhs but later I received one call from one of the executives where he told that I can get only 12 to 13 lakhs. There was a discrepancy in sharing information. Got call on time for home loan from the bank.,"Mar 18, 2015"
AXIS BANK,new delhi,Overall process from axis bank was good for my home loan requirement but the interest rate was high as they were offering above 9.6% were as sbi bank is offering 9.45% .On the processing fee they were giving some offers. The requirement was not there so not able to continue the service.,"Mar 18, 2015"
AXIS BANK,raipur,They have not provided the entire loan amount for the home loan taken through the Axis Bank.They have started taking EMI for the whole amount but still I have not got the pending amount.They have not applied any additional charges in the loan with Axis Bank.,"Mar 18, 2015"
AXIS BANK,mumbai,I got the immediate response from axis bank for my home loan application. The executive gave all the information about the process. But the property was not finalized from my side so the application was not forwarded for further process.,"Mar 18, 2015"
AXIS BANK,chennai,Response was good from axis bank for my home loan application. Compared to other bank they offered the best interest rate of 12.5% and the processing fee was also nominal. The plan was postponed to six months so the application was closed but the service of good. ,"Mar 17, 2015"
AXIS BANK,noida,The loan process was not well organized by Axis Bank related to the home loan process.I have to make a follow up in submitting the application for the home loan.They have taken around 5months to complete the home loan process.The charges applied was reasonable with Axis bank,"Mar 17, 2015"
AXIS BANK,mumbai,Once i applied for the home loan with axis bank next day morning i received the call and they shared all the information in which i find that the interest rate is very high. The property was not finalized within a given the limit so the application was closed it would be better if they extend the period. ,"Mar 17, 2015"
AXIS BANK,chennai,The process of axis bank is very easy for the home loan and the employees are very coordinating.They offered the 11% interest rate and the processing fee offered was high which can be reduce. As the amount was arranged from other sources so not availed the loan.,"Mar 17, 2015"
AXIS BANK,chennai,When i approached axis bank for home loan. I got the quick reply and the executive visited the place to collect the documents but i was not able to give the sufficient document so the process was postponed . But the overall service was good . Interest rate offers was little high compare to hdfc ltd ,"Mar 17, 2015"
AXIS BANK,chandigarh,The overall process was good with axis bank when i applied for the home loan but the processing fee was very high so i took the loan with other bank. Interest rate offered was competitive. They can lower the processing fee it would be better. ,"Mar 17, 2015"
AXIS BANK,mumbai,In the initial stage the process was good with axis bank for the home loan but later there was delay int he response because of which i could not make the mind and then the application was canceled.Interest rate and processing fee offered was good.,"Mar 17, 2015"
AXIS BANK,bhopal,The process of home loan was very fast from axis bank ans the response was also given very quick. Compared to the nationalized bank the interest rate was high but similar to the private bank . My plan was to do the construction on the plot as there delay so plan of taking the loan was postponed. &#9;,"Mar 17, 2015"
AXIS BANK,gurgaon,The experience was not good from axis bank . They did not respond to the customer on time and not given complete detail about the home loan process. The rates are competitive. It would be good if they follow the customer on time and follow till the loan gets completed. ,"Mar 17, 2015"
AXIS BANK,new delhi,"When I applied for the home loan from Axis bank, I was not satisfied as the executive took too long to respond and when he did come to collect my details, he took his own time for collecting the documents and processing it. I was satisfied with their interest rate and processing fees but decided to go elsewhere because of the service and responsiveness.","Mar 17, 2015"
AXIS BANK,new delhi,I have the housing loan with the Axis bank and the interest rate is around 9.85% and the processing charges were around 10000 Rupees. The loan amount got disbursed within fifteen days of time. Documentation procedures are good with them.,"Mar 16, 2015"
AXIS BANK,nagpur,I applied for a home loan with Axis Bank and wasní¢??t too happy with the response as the executive didní¢??t follow up regarding the loan. I got contacted after almost 10-15 days and it didní¢??t seem right to me. I was comfortable with the interest rate and processing fee offered though.,"Mar 16, 2015"
AXIS BANK,new delhi,There was no reply from axis bank for my home loan as i waited for the week after applying through online. The representative came and collected the documents but after that there was no follow up. It would be better if they reply to the customers with any feedback so that they can go for any other choice.,"Mar 16, 2015"
AXIS BANK,chennai,I had approached Axis Bank to check my eligibility for home loans. The executive from the bank turned out to be very knowledgeable and was very resourceful which helped clarify my doubts. The interest rate offered was manageable but the processing fee was way too much and I kept the idea of a home loan on hold.,"Mar 16, 2015"
AXIS BANK,pondicherry,When i applied for the home loan through online with axis bank within two hours i got call and the customer service shared all the information about the process. Interest rate offered was nearly 17% as the property document was not ready on the time so the not able to continue the process. ,"Mar 16, 2015"
AXIS BANK,mumbai,Axis bank response was on time for my application and they were ready to offer the home loan for the required amount but the down payment was not arranged on time so the plan was dropped. Rate of interest offered was nearly 11% for the approved loan. ,"Mar 16, 2015"
AXIS BANK,bangalore,I find the executives from Axis bank offered a good service when I approached for the home loan. The only point of concern was that I found them a bit pushy to close the deal than giving me enough time. The rates and processing charges were on par with most banks. I have postponed as we have not decided yet on the property. ,"Mar 16, 2015"
AXIS BANK,kolkata,"When I applied for a home loan from Axis Bank, the customer service was very good.However it was not feasible as they gave me a higher rate of interest from the one shown on the web portal.I later applied in a different bank.I think they should be clear about what they can offer. ","Mar 16, 2015"
AXIS BANK,chandigarh,Feedback is good from axis bank as they keep up following me for the home loan process. Due to some personal reason i was not able to submit the documents so the plan was dropped but I am satisfied with the overall service provided by them. ,"Mar 16, 2015"
AXIS BANK,mumbai,It was good experience with axis bank as they approached on time when i applied for the home loan . Interest rate offered was 9.50%. The processing fee offered was high comparing with the hdfc bank. The property was not finalized so the application was closed. ,"Mar 16, 2015"
AXIS BANK,hyderabad,Axis bank executives were not ready to collected the documents for the home loan. When ever i call them they use to give a reason like they are busy because of which i lost my interest taking the loan. They were not ready to give any info also. The service is very slow compared to other banks and finance institute . ,"Mar 16, 2015"
