name,club,pos,status,news,chance_of_playing_this_round,chance_of_playing_next_round,now_cost,total_points,event_points,minutes,points_per_game,points_per_game_last3,form,value_form,value_season,dreamteam_count,selected_by_percent,transfers_out,transfers_in,transfers_out_event,transfers_in_event,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,ep_this,ep_next
Francis Coquelin,Arsenal,Midfielder,major injury,Hamstring injury - Expected back 04 Feb,0,0,4.3,34,1,1191,2,1.7,1.8,0.4,7.9,0,2.4,128076,125047,18949,3849,-2,0,2,0,0,1,3,17,0,0,0,3,0,0,1,203,185,204,54,44.5,246,2.3,0
Alex Iwobi,Arsenal,Midfielder,active,,100,100,5.8,56,2,875,3.5,5.3,4.5,0.8,9.7,1,1.4,128045,125349,7554,16712,-2,0,2,0,2,3,6,12,0,0,0,1,0,0,5,218,218.2,335.5,360,91.4,150,5,6
Mohamed Elneny,Arsenal,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,4.6,21,0,534,1.9,1.3,0.8,0.2,4.6,0,0.4,30687,9411,739,111,-4,0,4,0,0,1,2,8,0,0,0,1,0,0,0,114,78.6,83.8,62,22.2,134,0,0
Joel Campbell,Arsenal,Midfielder,long loan,Joined Sporting Lisbon in season-long loan deal,0,0,5.9,0,0,0,0,0,0,0,0,0,0,4931,384,36,20,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0
Granit Xhaka,Arsenal,Midfielder,active,,100,100,5.2,39,5,1229,2.3,3.7,3.3,0.6,7.5,0,2.9,235551,83309,3741,7508,-3,0,3,0,1,1,4,15,0,0,0,2,1,0,2,242,226,268.8,93,58.7,0,3.8,4.8
Olivier Giroud,Arsenal,Forward,active,,100,100,8.6,63,15,449,4.8,10,7.8,0.9,7.3,2,6.6,186197,389391,12433,186752,-4,1,4,-1,6,4,2,4,0,0,0,1,0,0,12,229,274.6,125.2,365,76.2,629,8.3,9.3
Danny Welbeck,Arsenal,Forward,active,,100,100,7.3,0,0,0,0,0,0,0,0,0,0.1,3669,2670,324,813,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0.5,1.5
Yaya Sanogo,Arsenal,Forward,major injury,Calf injury - Unknown return date,0,0,4.7,0,0,0,0,0,0,0,0,0,0.1,8623,3180,135,56,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takuma Asano,Arsenal,Forward,long loan,Awaiting work permit,0,0,4.9,0,0,0,0,0,0,0,0,0,0,4289,541,32,20,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur Boruc,Bournemouth,Goalkeeper,active,,100,100,4.6,61,0,1620,3.4,3,2.8,0.6,13.3,2,6.7,181116,229324,10838,13102,1,0,-1,0,0,0,5,31,0,1,0,2,0,55,2,335,401.4,0,0,40,281,1.8,3.3
Adam Federici,Bournemouth,Goalkeeper,active,,100,100,4.4,8,0,180,4,4,0,0,1.8,0,0.1,2951,1902,156,98,-1,0,1,0,0,0,1,3,0,0,0,1,0,5,1,37,34.4,0,0,3.5,31,-1,0.5
Simon Francis,Bournemouth,Defender,suspended,Suspended until 31 Jan,0,0,4.6,54,-2,1791,2.7,1.7,1.5,0.3,11.7,1,2.7,105715,157435,37366,5908,1,0,-1,0,0,1,6,34,0,0,0,3,1,0,5,402,466,263,93,82.5,462,0.5,0
Steve Cook,Bournemouth,Defender,active,,100,100,5.1,69,0,1800,3.5,2,1.8,0.4,13.5,1,3.1,72597,163109,12257,4918,1,0,-1,0,2,0,6,34,1,0,0,3,0,0,10,420,640,32.8,243,91.6,443,0.8,2.3
Charlie Daniels,Bournemouth,Defender,active,,100,100,5.2,88,11,1620,4.9,8,6.3,1.2,16.9,4,11.9,192643,501158,12039,165228,2,1,-2,-1,3,3,6,28,0,0,0,1,0,0,12,409,440.6,315.6,202,95.9,491,5.3,6.8
Adam Smith,Bournemouth,Defender,active,,100,100,4.7,53,0,1571,2.8,0.7,0.8,0.2,11.3,1,8.6,355731,582204,40600,10247,2,0,-2,0,1,3,4,34,0,0,0,5,0,0,3,320,288,264.7,150,70.4,297,-0.2,1.3
Tyrone Mings,Bournemouth,Defender,active,,100,100,4.5,1,0,1,1,1,0,0,0.2,0,0,1188,895,80,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0,0.1,1,-1,0.5
Nathan AkÃƒÂ©,Bournemouth,Defender,active,,100,100,4.4,51,1,735,5.1,5.7,4.3,1,11.6,2,9.9,90952,413992,10518,59839,-1,0,1,0,3,0,3,17,0,0,0,0,0,0,8,236,342.2,43.9,144,53,232,3.3,4.8
Nathan AkÃƒÂ©,Chelsea,Defender,active,,100,100,4.4,51,1,735,5.1,5.3,4.3,1,11.6,2,8.9,150268,430950,69834,76797,-1,0,1,0,3,0,3,17,0,0,0,0,0,0,8,236,342.2,43.9,144,53,232,4.3,5.8
Harry Arter,Bournemouth,Midfielder,active,,100,100,5,46,1,1753,2.3,2,2,0.4,9.2,0,0.3,15576,18552,1010,1574,0,0,0,0,0,2,6,34,0,0,0,5,1,0,2,303,253.6,286.7,162,69.8,188,1,2.5
Marc Pugh,Bournemouth,Midfielder,active,,100,100,4.7,17,0,164,4.3,5.3,0.3,0.1,3.6,1,0.1,5730,4673,518,115,-3,0,3,0,1,1,1,2,0,0,0,0,0,0,3,60,74.2,47.8,50,17.2,245,0,0.8
Andrew Surman,Bournemouth,Midfielder,active,,100,100,4.6,25,1,991,2.1,2,1.5,0.3,5.4,0,0.1,8597,1851,87,78,-4,0,4,0,0,0,3,19,0,0,0,1,0,0,0,172,147.4,125.8,33,30.6,385,0.5,2
Eunan O'Kane,Bournemouth,Midfielder,long loan,Joined Leeds on 31/8,0,0,4.4,0,0,0,0,0,0,0,0,0,0.3,10408,1328,136,25,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
Shaun MacDonald,Bournemouth,Midfielder,long loan,Transferred to Wigan,0,0,4.5,0,0,0,0,0,0,0,0,0,0.1,3907,285,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Junior Stanislas,Bournemouth,Midfielder,active,,100,100,5.2,64,5,898,5.3,4,3,0.6,12.5,1,2.2,99594,181260,6756,66892,-3,1,3,-1,3,6,4,17,0,0,0,1,0,0,6,233,282.8,254.6,243,78.1,217,2,3.5
Dan Gosling,Bournemouth,Midfielder,active,,100,100,4.7,35,2,838,1.9,1.7,1.3,0.3,7.4,0,0.2,10025,7822,484,297,-3,0,3,0,2,0,2,17,0,0,0,4,0,0,1,157,167.2,125.1,137,42.9,331,0.3,1.8
Max Gradel,Bournemouth,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,5,4,0,95,0.8,0.7,0,0,0.8,0,0.1,13057,1039,100,13,-5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,14,18,5.8,53,7.3,155,-1,0
Emerson Hyndman,Bournemouth,Midfielder,long loan,Joined Rangers on loan from 9/1 until end of the s,0,0,4.4,0,0,0,0,0,0,0,0,0,0,1147,635,43,29,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Jordon Ibe,Bournemouth,Midfielder,active,,100,100,4.9,24,0,763,1.6,1,0.5,0.1,4.9,0,1.3,157443,25297,1188,223,-6,0,6,0,0,0,3,14,0,0,0,0,0,0,0,98,81.4,237.8,205,52.3,184,-0.5,1
Lewis Cook,Bournemouth,Midfielder,active,,100,100,4.2,2,0,80,2,2,0,0,0.5,0,0.6,26552,16900,1494,1780,-3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,10,7,14.3,4,2.5,0,0,0.5
Joshua King,Bournemouth,Midfielder,active,,100,100,5.3,57,3,1286,3,3.7,3.3,0.6,10.8,0,0.7,58192,56568,2212,4926,-2,0,2,0,3,1,5,24,0,0,0,1,0,0,2,156,235.4,174.3,373,78.1,321,2.3,3.8
Callum Wilson,Bournemouth,Forward,active,,100,100,6.2,59,6,1205,3.5,3,2,0.3,9.5,0,2.6,329342,320352,9335,29106,-3,0,3,0,6,1,6,21,0,0,0,0,0,0,2,166,225.2,120.8,451,77.8,165,1,2.5
Tokelo Rantie,Bournemouth,Forward,long loan,Joined Turkish outfit Genclerbirligi on 26/8,0,0,4.5,0,0,0,0,0,0,0,0,0,0.3,13619,1779,145,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Lewis Grabban,Bournemouth,Forward,active,,100,100,4.3,6,0,60,2,2,0,0,1.4,0,4,190854,163221,12415,12666,-2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,17,24.2,11.8,17,5.3,124,-1,0.5
Benik Afobe,Bournemouth,Forward,active,,100,100,5.6,33,0,480,2.2,2.7,2,0.4,5.9,0,0.8,38961,41379,5624,5803,-4,0,4,0,2,2,2,7,0,0,0,0,0,0,1,89,124.4,139.2,287,55.1,146,1,2.5
Lys Mousset,Bournemouth,Forward,active,,100,100,5.2,2,0,25,1,1,0,0,0.4,0,0.1,3067,1260,93,44,-3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11.9,16,2.4,0,-1,0.5
Tom Heaton,Burnley,Goalkeeper,active,,100,100,4.9,80,1,1620,4.4,4,3.8,0.8,16.3,4,16.6,244187,675046,16929,51958,4,0,-4,0,0,0,4,27,0,1,0,1,0,83,13,396,579,10.1,0,59,0,2.3,3.3
Matthew Lowton,Burnley,Defender,active,,100,100,4.5,38,1,1620,2.1,1,0.8,0.2,8.4,0,0.6,27446,33662,1554,448,0,0,0,0,0,1,3,29,0,0,0,5,0,0,2,295,385.2,281.2,41,70.6,0,-0.7,0.3
Ben Mee,Burnley,Defender,active,,100,100,4.5,53,7,1800,2.6,5,4,0.9,11.8,0,1.9,43552,92384,6589,26565,0,0,0,0,1,2,4,31,1,0,0,3,0,0,1,351,520,64.8,131,71.8,0,2.5,3.5
Stephen Ward,Burnley,Defender,active,,100,100,4.4,43,1,1655,2.3,2.7,2.3,0.5,9.8,0,1,21891,53692,3818,7741,-1,0,1,0,1,0,3,29,0,0,0,2,0,0,0,292,300.2,201.8,79,58.1,0,0.8,1.8
Michael Keane,Burnley,Defender,active,,100,100,4.9,51,0,1800,2.5,2.7,2.3,0.5,10.4,1,2.3,72868,109690,6410,1711,-1,0,1,0,1,0,4,31,0,0,0,2,0,0,2,330,551.8,59.8,286,90,0,0.8,1.8
James Tarkowski,Burnley,Defender,active,,100,100,4,6,0,118,0.9,1,0.3,0.1,1.5,0,2,59219,67493,4283,879,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,29,35.2,39.1,16,8.7,0,-1.2,-0.2
Tendayi Darikwa,Burnley,Defender,active,,100,100,4.2,0,0,0,0,0,0,0,0,0,0.1,1813,624,74,53,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-0.5
David Jones,Burnley,Midfielder,long loan,Transferred to Sheffield Wednesday,0,0,5,1,0,86,1,1,0,0,0.2,0,0,2942,136,14,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,11.7,2,1.3,0,0,0
George Boyd,Burnley,Midfielder,minor injury,Knock - 75% chance of playing,75,75,5.1,41,2,1437,2.2,2,2,0.4,8,0,0.1,9738,3995,482,301,-4,0,4,0,1,0,3,25,0,0,0,2,0,0,0,186,171,98.9,191,46.2,0,0.5,1.1
Scott Arfield,Burnley,Midfielder,minor injury,Hamstring injury - 25% chance of playing,25,25,5.2,47,2,1325,2.5,3.3,3,0.6,9,1,0.1,6653,4203,420,248,-3,0,3,0,1,2,4,23,0,0,0,3,0,0,3,166,148.8,308.8,199,65.6,0,1.5,0.6
Dean Marney,Burnley,Midfielder,active,,100,100,4.5,48,0,1617,2.5,3,2.3,0.5,10.7,0,0.8,48402,66402,2787,2869,0,0,0,0,1,2,4,27,0,0,0,5,0,0,1,229,227.4,74.8,66,36.7,0,0,1.8
Fredrik Ulvestad,Burnley,Midfielder,long loan,Joined Charlton in season-long loan deal,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,2234,537,32,7,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kightly,Burnley,Midfielder,active,,100,100,4.2,6,0,104,1.2,1.3,0.3,0.1,1.4,0,0.7,20864,27177,2244,2021,-3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,20,2.8,9.3,4,1.5,0,-1.2,-0.2
Sam Vokes,Burnley,Forward,active,,100,100,5.9,64,4,1304,3.2,3,2.5,0.4,10.8,0,2.5,207151,272146,14344,12907,-1,0,1,0,4,3,3,21,0,0,0,0,0,0,6,190,242.2,169.3,475,88.2,0,1,2
Andre Gray,Burnley,Forward,active,,100,100,6.2,55,1,1070,3.9,8.3,6.8,1.1,8.9,1,4.9,505371,266789,15709,50774,-3,1,3,-1,5,2,3,16,0,0,0,2,0,0,6,144,213.2,130.1,306,64.5,0,5.3,6.3
Lukas Jutkiewicz,Burnley,Forward,long loan,Joined Birmingham City in permanent deal on 3/1,0,0,4.3,2,0,13,1,1,0,0,0.5,0,0.6,24566,10660,1201,1115,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,1,2,0.3,0,0,0
Ashley Barnes,Burnley,Forward,minor injury,Knock - 75% chance of playing,75,75,4.5,32,2,529,2.9,5,5,1.1,7.1,1,2.4,53595,137933,12962,24022,0,0,0,0,3,1,1,9,0,0,0,2,0,0,3,106,133,90,222,44.2,0,3.5,3.4
Rouwen Hennings,Burnley,Forward,long loan,Season-long loan to Fortuna Dusseldorf,0,0,4.5,0,0,0,0,0,0,0,0,0,0,3842,589,49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Long,Burnley,Forward,long loan,Season-long loan to Fleetwood Town,0,0,4.5,0,0,0,0,0,0,0,0,0,0.4,32482,4763,265,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaut Courtois,Chelsea,Goalkeeper,active,,100,100,5.9,85,1,1800,4.3,3,3.8,0.6,14.4,1,15.4,232114,398635,19608,22063,4,0,-4,0,0,0,11,15,0,0,0,1,0,36,0,355,264.2,0,0,26.5,230,3.8,5.3
Asmir Begovic,Chelsea,Goalkeeper,active,,100,100,4.7,0,0,0,0,0,0,0,0,0,0.2,5752,1357,145,41,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,1.5
John Terry,Chelsea,Defender,suspended,Suspended until 22 Jan,0,0,5.2,11,0,367,2.2,2.3,0,0,2.1,0,1.6,185385,56927,991,51,-3,0,3,0,0,0,1,4,0,0,0,1,0,0,0,66,64.6,23.1,46,13.3,228,0,0
Branislav Ivanovic,Chelsea,Defender,active,,100,100,5.7,23,0,589,1.8,1,0.5,0.1,4,0,3.1,178883,33475,1899,182,-3,0,3,0,0,1,1,9,0,0,0,2,0,0,2,143,114.6,69.4,112,29.4,414,0.5,2
CÃƒÂ©sar Azpilicueta,Chelsea,Defender,active,,100,100,6.6,97,1,1800,4.8,2.7,5,0.8,14.7,1,20.9,326785,642368,29509,25735,6,0,-6,0,0,2,11,15,0,0,0,3,0,0,15,482,415.4,204.5,63,68.5,470,5,6.5
Gary Cahill,Chelsea,Defender,active,,100,100,6.4,96,0,1793,4.8,4.7,5.5,0.9,15,1,12.9,159679,410944,18507,29442,4,0,-4,0,2,0,11,15,1,0,0,2,0,0,9,436,411.2,41.4,194,64.8,283,5.5,7
Kurt Zouma,Chelsea,Defender,active,,100,100,5.3,0,0,0,0,0,0,0,0,0,0.2,6982,1616,180,204,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,1.5
Abdul Rahman Baba,Chelsea,Defender,long loan,Signed for Schalke in season-long loan deal,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1189,218,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0
Matt Miazga,Chelsea,Defender,long loan,Joined Vitesse Arnhem in season-long loan deal,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,3771,424,25,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Eden Hazard,Chelsea,Midfielder,active,,100,100,10.4,120,2,1605,6.3,5.7,5,0.5,11.5,3,33.8,1239731,1750082,89288,46195,4,0,-4,0,9,4,10,15,0,0,0,2,0,0,17,458,565.6,620.6,648,183.5,476,5,6.5
Cesc FÃƒÂ bregas,Chelsea,Midfielder,active,,100,100,6.9,42,1,487,3.8,5.3,4,0.6,6.1,1,2.2,232134,71342,8762,7335,-6,0,6,0,1,6,2,6,0,0,0,3,0,0,5,179,197.8,265.5,74,53.6,617,4,5.5
Oscar dos Santos Emboaba Junio,Chelsea,Midfielder,long loan,Transferred to Shanghai SIPG,0,0,7.1,17,0,455,1.9,0,0,0,2.4,0,0.6,63989,22866,691,42,-4,0,4,0,0,1,1,6,0,0,0,1,0,0,0,104,97.4,197.4,128,42.2,321,0,0
Juan Cuadrado,Chelsea,Midfielder,long loan,Joined Juventus on three-season loan deal,0,0,6.9,0,0,0,0,0,0,0,0,0,0.6,53190,694,248,15,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Willian Borges Da Silva,Chelsea,Midfielder,active,,100,100,7.2,65,1,922,4.1,6.3,5.5,0.8,9,3,4.4,397334,193925,14707,19907,-3,1,3,-1,5,1,5,10,0,0,0,2,0,0,8,264,299.8,528.9,326,115.3,512,5.5,7
Nemanja Matic,Chelsea,Midfielder,active,,100,100,5.1,65,2,1528,3.4,2,2.3,0.5,12.7,0,4,194383,235606,15510,9024,1,0,-1,0,0,7,10,12,0,0,0,3,0,0,1,334,342.4,289.6,154,78.6,373,2.3,3.8
Ruben Loftus-Cheek,Chelsea,Midfielder,active,,100,100,5.1,1,0,9,1,1,0,0,0.2,0,0.1,3882,382,30,9,-4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,68,0,1.5
John Obi Mikel,Chelsea,Midfielder,long loan,Joined  Chinese side Tianjin TEDA on 6/1,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,5004,1896,88,18,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0
Pedro RodrÃƒÂ_guez Ledesma,Chelsea,Midfielder,active,,100,100,6.9,77,1,936,4.5,5.3,3.5,0.5,11.2,3,3.4,265042,369964,16290,39891,-6,0,6,0,4,6,8,5,0,0,0,5,0,0,8,253,279.2,231.2,286,78.6,399,3.5,5
Bertrand Traore,Chelsea,Midfielder,long loan,Season-long loan to Ajax,0,0,5.4,0,0,0,0,0,0,0,0,0,0,2298,172,22,15,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0
Victor Moses,Chelsea,Midfielder,active,,100,100,5.7,62,2,1246,3.3,2,2.3,0.4,10.9,1,3,139329,244495,23571,7267,2,-1,-2,1,3,1,10,6,0,0,0,3,0,0,4,255,311,231.4,318,85.9,127,2.3,3.8
Marco Van Ginkel,Chelsea,Midfielder,long loan,Loaned to PSV Eindhoven,0,0,4.9,0,0,0,0,0,0,0,0,0,0,1161,128,12,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
Robert Kenedy Nunes do Nascime,Watford,Midfielder,active,,100,100,5.1,1,0,16,1,0,0,0,0.2,0,0,2112,1180,15,21,-4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.4,0,0.1,86,-0.5,0
N'Golo KantÃƒÂ©,Chelsea,Midfielder,active,,100,100,4.7,48,2,1698,2.5,2,1.5,0.3,10.2,0,12.1,695854,216645,12787,11090,-3,0,3,0,1,0,10,15,0,0,0,5,0,0,0,296,280.6,248.3,168,69.5,501,1.5,3
Michy Batshuayi,Chelsea,Forward,active,,100,100,8.5,20,1,94,1.7,1,0.8,0.1,2.4,0,1,124959,58513,1503,473,-5,0,5,0,1,1,0,0,0,0,0,0,0,0,1,58,57.8,17.5,84,15.7,0,0.8,2.3
Diego Da Silva Costa,Chelsea,Forward,active,,100,100,10.7,123,2,1676,6.5,4.7,3.5,0.3,11.5,3,43.6,1324765,2682015,97883,95380,12,0,-12,0,14,5,10,15,0,0,0,5,0,0,19,462,687,420,1014,212,533,3.5,5
LoÃƒÂ¯c Remy,Crystal Palace,Forward,active,,100,100,6.3,0,0,0,0,0,0,0,0,0,0.2,22236,16007,254,1045,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
Julian Speroni,Crystal Palace,Goalkeeper,active,,100,100,4.3,0,0,0,0,0,0,0,0,0,0.2,6182,1032,179,77,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.5,0
Wayne Hennessey,Crystal Palace,Goalkeeper,minor injury,Knock - 75% chance of playing,75,75,4.3,25,1,990,2.3,1.7,2,0.5,5.8,0,2.4,119660,43833,6220,6798,-2,0,2,0,0,0,1,20,0,0,0,1,0,34,0,181,260.6,0,0,26,266,2.5,1.5
Alex McCarthy,Southampton,Goalkeeper,major injury,Hamstring injury - Expected back 02 Jan,0,0,4.3,0,0,0,0,0,0,0,0,0,0.1,5181,680,145,16,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
Steve Mandanda,Crystal Palace,Goalkeeper,major injury,Knee injury - Expected back 14 Jan,0,0,4.3,19,0,810,2.1,1.7,0,0,4.4,0,2.3,126286,42467,3759,367,-2,0,2,0,0,0,0,17,0,0,0,0,0,24,0,120,182.8,0,0,18.2,0,0,0
James Tomkins,Crystal Palace,Defender,active,,100,100,4.9,33,0,952,2.8,4.3,0,0,6.7,1,0.2,16231,16498,476,320,-1,0,1,0,3,0,1,23,0,0,0,4,0,0,2,178,300.4,7.2,154,46.3,221,0.5,0
